Fp, 298
Fq, 335
Hom, 205
Z\nZ, 25
b divides a, 110
abelian group, 157
action of a group on a set, 237
algebraic closure of a field, 320
algebraic element of an extension, 302
algebraic extension, 307
alternating group, 249
basis of a free module, 175
Cartesian product of groups, 233
Cartesian product of rings, 59
center of a group, 272
centralizer, 272
characteristic of a field, 297
cokernel, 183
commutative ring, 52
composite, 13
congruence modulo n, 23
congruence modulo an ideal, 83
conjugacy class, 241
constant term of a polynomial, 131
constructible number, 311
content of a polynomial, 141
coset, 84
coset, 166
cycle, 249
degree of a polynomial, 131
degree of an extension, 299
dihedral group, 242
direct sum of modules, 163
b divides a, 4
equivalent matrices, 181
Euclidean domain, 112
exact sequence of modules, 182
extension algebraic, 307
extension finite, 299
extension Galois, 341
extension normal, 326
extension radical, 362
extension simple, 301
faithful action, 239
field, 55
field extension, 295
field fixed, 346
field intermediate, 300
field of fractions, 122
field splitting, 320
finite extension, 299
fixed field, 346
free action, 239
free module, 174
Frobenius homomorphism, 334
Galois conjugate, 348
Galois correspondence, 350
Galois extension, 341
Galois group, 340
greatest common divisor in Z, 7
greatest common divisor in an integral domain, 110
group, 229
group abelian, 157
group alternating, 249
group dihedral, 242
group Galois, 340
group of permutations, 235
group simple, 275
group symmetric, 235
homomorphism of groups, 230
homomorphism of modules, 158
homomorphism of rings, 64
ideal, 80
ideal maximal, 106
ideal prime, 106
ideal principal, 82
index of a subgroup, 267
integral domain, 53
invertible element of a ring, 54
irreducible element of an integral domain, 111
irreducible integer, 13
isomorphic, 71
isomorphic, 160
isomorphic, 231
isomorphism, 70
isomorphism, 160
isomorphism, 231
kernel, 79
kernel, 165
kernel, 254
leading coefficient, 131
linearly independent elements of a module, 175
maximal ideal, 106
minimal polynomial, 303
module, 154
module cyclic, 162
module finitely generated, 162
module finitely presented, 183
module free, 174
normal extension, 326
normal subgroup, 255
normalizer, 274
operations in Z/nZ, 27
operations in R/I, 84
orbit, 238
order of a group, 202
order of an element of a group, 210
p-group, 271
PID principal ideal domain, 113
polynomial solvable by radical, 362
prime element of an integral domain, 111
prime ideal, 106
prime integer, 14
primitive polynomial, 141
primitive root of 1, 362
principal ideal, 82
principal domain PID, 113
product of two ideals, 95
quotient of a group by a normal subgroup, 259
quotient of a module by a submodule, 166
quotient of a ring by an ideal, 84
radical extension, 362
rank, 174
relatively prime, 10
ring, 41
ring commutative, 52
ring Noetherian, 187
separability degree, 332
separable extension, 328
separable polynomial, 328
sign of a permutation, 248
simple extension, 301
simple group, 275
solvable group, 287
splitting field, 320
stabilizer, 270
subgroup, 232
subgroup generated by a subset, 232
subgroup normal, 255
subgroup Sylow, 277
submodule, 161
subring, 61
sum of two ideals, 94
Sylow subgroup, 277
symmetric group, 235
transcendental element of an extension, 302
transitive action, 239
transposition, 249
type of a permutation, 283
unique factorization domain UFD, 119
unit, 54
zero-divisor, 53
